SERVICE_MINILINK,date,speed
1220023300_001,2018-04-01,35.404296875
1220023300_001,2018-04-02,27.176287615740744
1220023300_001,2018-04-03,24.21831597222222
1220023300_001,2018-04-04,25.381655092592595
1220023300_001,2018-04-05,24.130208333333336
1220023300_001,2018-04-06,21.57320601851852
1220023300_001,2018-04-07,26.12528935185185
1220023300_001,2018-04-08,31.939091435185187
1220023300_001,2018-04-09,26.584273726851855
1220023300_001,2018-04-10,23.19994212962963
1220023300_001,2018-04-11,25.340711805555557
1220023300_001,2018-04-12,23.895254629629633
1220023300_001,2018-04-13,22.21050347222222
1220023300_001,2018-04-14,27.643229166666668
1220023300_001,2018-04-15,31.71520543981482
1220023300_001,2018-04-16,26.303964120370367
1220023300_001,2018-04-17,25.710503472222218
1220023300_001,2018-04-18,25.251880787037035
1220023300_001,2018-04-19,25.693287037037035
1220023300_001,2018-04-20,23.434461805555557
1220023300_001,2018-04-21,29.241898148148152
1220023300_001,2018-04-22,32.040798611111114
1220023300_001,2018-04-23,24.65776909722222
1220023300_001,2018-04-24,23.82320601851852
1220023300_001,2018-04-25,24.730324074074076
1220023300_001,2018-04-26,24.424479166666668
1220023300_001,2018-04-27,22.09664351851852
1220023300_001,2018-04-28,26.15133101851852
1220023300_001,2018-04-29,33.92657696759259
1220023300_001,2018-04-30,25.862413194444443
1220023300_002,2018-04-01,36.18055555555555
1220023300_002,2018-04-02,27.727068865740744
1220023300_002,2018-04-03,25.50101273148148
1220023300_002,2018-04-04,24.367766203703702
1220023300_002,2018-04-05,23.926359953703702
1220023300_002,2018-04-06,22.20138888888889
1220023300_002,2018-04-07,26.596932870370367
1220023300_002,2018-04-08,32.43749999999999
1220023300_002,2018-04-09,26.69437210648148
1220023300_002,2018-04-10,22.940248842592595
1220023300_002,2018-04-11,26.729166666666668
1220023300_002,2018-04-12,24.536747685185187
1220023300_002,2018-04-13,24.885127314814817
1220023300_002,2018-04-14,26.41261574074074
1220023300_002,2018-04-15,33.057942708333336
1220023300_002,2018-04-16,26.547598379629633
1220023300_002,2018-04-17,26.11603009259259
1220023300_002,2018-04-18,27.486545138888893
1220023300_002,2018-04-19,26.52387152777778
1220023300_002,2018-04-20,25.01909722222222
1220023300_002,2018-04-21,27.59548611111111
1220023300_002,2018-04-22,33.766276041666664
1220023300_002,2018-04-23,26.283781828703706
1220023300_002,2018-04-24,25.91840277777778
1220023300_002,2018-04-25,25.044415509259256
1220023300_002,2018-04-26,24.727141203703702
1220023300_002,2018-04-27,23.583912037037038
1220023300_002,2018-04-28,27.962384259259256
1220023300_002,2018-04-29,34.51186342592593
1220023300_002,2018-04-30,26.29644097222222
1220023300_003,2018-04-01,37.00629340277778
1220023300_003,2018-04-02,29.586805555555557
1220023300_003,2018-04-03,26.665364583333332
1220023300_003,2018-04-04,26.06785300925926
1220023300_003,2018-04-05,24.00998263888889
1220023300_003,2018-04-06,23.804832175925924
1220023300_003,2018-04-07,26.085358796296298
1220023300_003,2018-04-08,33.67860243055556
1220023300_003,2018-04-09,28.01663773148148
1220023300_003,2018-04-10,24.703125
1220023300_003,2018-04-11,26.831163194444443
1220023300_003,2018-04-12,25.86009837962963
1220023300_003,2018-04-13,24.50737847222222
1220023300_003,2018-04-14,26.813078703703702
1220023300_003,2018-04-15,35.96484375
1220023300_003,2018-04-16,28.840856481481485
1220023300_003,2018-04-17,27.00274884259259
1220023300_003,2018-04-18,26.87789351851852
1220023300_003,2018-04-19,25.52690972222222
1220023300_003,2018-04-20,25.035734953703706
1220023300_003,2018-04-21,29.645254629629637
1220023300_003,2018-04-22,35.77640335648149
1220023300_003,2018-04-23,27.294343171296298
1220023300_003,2018-04-24,27.118055555555557
1220023300_003,2018-04-25,26.708333333333332
1220023300_003,2018-04-26,25.822627314814813
1220023300_003,2018-04-27,23.65639467592593
1220023300_003,2018-04-28,27.3046875
1220023300_003,2018-04-29,36.05852141203704
1220023300_003,2018-04-30,28.44574652777778
1220023300_004,2018-04-01,39.40321180555556
1220023300_004,2018-04-02,28.80881076388889
1220023300_004,2018-04-03,27.54499421296296
1220023300_004,2018-04-04,25.42093460648148
1220023300_004,2018-04-05,25.363136574074073
1220023300_004,2018-04-06,23.510416666666668
1220023300_004,2018-04-07,25.882523148148145
1220023300_004,2018-04-08,36.21325231481481
1220023300_004,2018-04-09,29.451750578703702
1220023300_004,2018-04-10,23.842158564814813
1220023300_004,2018-04-11,27.234302662037035
1220023300_004,2018-04-12,26.556134259259256
1220023300_004,2018-04-13,26.204282407407405
1220023300_004,2018-04-14,27.289641203703706
